Organism	BDEG_20379	BDEG_22774	BDEG_22775	BDEG_25898	BDEG_27285	BDEG_23209	BDEG_23332	BDEG_27858	BDEG_27864	BDEG_23888	BDEG_24855	BDEG_24892	BDEG_25147	BDEG_28447	BDEG_20405	BDEG_25536	BDEG_22285
47.OZ	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1
49.OZ	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1
Acherito.1.215	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1
Acherito.3.115	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1
Acherito.4.115	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1
Acherito.5.215	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1
Acherito.c15	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	1	1
Acherito.d15	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1
ACONCH	1	1	1	0	1	0	1	0	0	1	1	0	1	1	1	0	1
ADMALA	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1
ANS13No10	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	1
ANS13No12	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1
ANS13No1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1
ANS13No4	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	0	1
ANS13No7	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1
Ansabere.6.115	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	1
AoCH15B	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1
AP15IT	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1
APEPCH	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0
Arlet13No1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1
Arlet13No2	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1
Arlet13No4	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1
Arlet13No6	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Arlet13No8	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	0	1
Arlet.a15	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1
Arlet.K15	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1
AULFR	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1
AVS2	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1
AVS4	1	1	1	0	1	1	1	0	1	1	1	0	1	1	0	0	1
AVS7	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1
BAVBRUCH1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1
BAVOBER1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1
BAVOBER2	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1
BAVOBER3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
BdAus1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1
BdAus2	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1
BdAus3	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	0
BdAus4	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	1
BdAus5	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1
BdAus6	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	0	1
BdAus8	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1
BdAus9	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1
BdBE1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1
BdBE2	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1
BdBE3	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1
BdBE4	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1
BdBE5	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1
BdBE6	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1
BdJEL253	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
BdNL1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1
BdRTP5	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1
BdRTP6	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1
BEW2CH	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1
BLI1CH	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1
BR1CH	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1
Campana	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1
CCB15	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1
CCB1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1
CH4CH	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1
CHAL3CH	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1
CJB4	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
CJB5.2	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
CJB7	0	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0
CLFT001	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	1	0
CLFT023	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
CLFT024.02	1	1	1	0	1	0	1	0	1	1	1	0	1	1	0	0	1
CLFT024	0	1	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0
CLFT026	0	1	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0
CLFT061	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1
CLFT065	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0
CLFT067	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1
CLFT071	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1
CLFT136	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1
CLFT144	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1
CM21	1	1	1	0	1	0	1	0	0	0	1	1	1	1	1	0	1
CM22	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1
CMT3	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1
CMT5	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1
CON2ACH	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1
CORN1B	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1
CORN1	1	1	1	0	1	0	1	0	0	1	1	0	1	1	1	0	1
DB8.2	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1
DB8.4	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1
ETH2ET	1	1	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1
ETH4ET	1	1	1	0	1	0	1	0	0	1	1	0	1	1	1	0	1
EV001	0	1	1	0	0	0	1	1	1	0	1	0	1	1	0	0	0
FG184	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1
FG32	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1
HER3CH	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	0	1
HR1	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1
HR5	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1
Hung2014	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1
Hung2039	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1
Hung2044	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	0	1
HYATT	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1
IA042Highlypassaged	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1
IA042Lowpassage	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1
IA043cryo	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1
IA11	1	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	1
IA12	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1
IA12No10	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1
IA12No12	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1
IA12No1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	1
IA12No3	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	0	1
IA12No4	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1
IA12No5	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1
IA12No8	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	1
IA12No9	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	1	1
IA13No12	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1
IA13No1348	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	1
IA13No1360	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1
IA13No17	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1
IA13No1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
IA13No6	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1
IA13No8	1	1	1	0	1	0	1	1	0	1	1	0	1	0	1	0	1
JEL238	0	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0
JEL240	1	1	1	0	1	1	1	0	0	0	1	0	1	1	1	0	1
JEL261	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1
JEL267	0	1	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0
JEL270	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1
JEL271	0	1	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0
JEL274	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1
JEL275	0	1	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0
JEL289	0	1	1	0	1	0	1	1	0	0	1	0	1	0	0	0	0
JEL310	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0	0	0
JEL359	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0
JEL408	0	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0
JEL410	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1
JEL412	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1
JEL413	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1
JEL423	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
JEL423PA	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1
JEL427	0	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	0
JEL427.P17	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1
JEL427.P39	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1
JEL427.P9	1	1	1	0	1	0	1	0	0	1	1	0	0	0	1	0	1
JEL429	0	1	1	0	1	0	1	0	1	0	1	0	1	1	0	0	0
JEL433	0	1	1	0	1	0	1	1	0	0	1	0	1	0	0	0	0
JEL627	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0
KB108	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	0
KB23	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1
KB347	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1
KB45	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1
KB72	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1
KBO_317	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	0
KBO_319	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1
KBO_327	1	1	1	0	1	1	1	0	0	0	1	0	1	1	1	0	0
KRBOOR_317	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	0
KRBOOR_323	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1
KRBOOR_331	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1
L2203	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1
LBAbercrom	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0	0	0
LFT00110	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0
LHURS11No11	1	1	1	0	1	0	1	1	0	1	1	0	1	1	0	0	1
LHURS11No1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1
LHURS11No7	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1
LHURS11No8	1	1	1	0	1	0	1	1	0	1	1	0	1	0	1	0	1
Lhurs13No11	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1
Lhurs13No13	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1
Lhurs13No14	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	1	1
Lhurs13No2	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1
Lhurs13No4	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1
LHURS8CH	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	1
LM2	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1
MADFR	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	0
MAL05GB	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1
MC58	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1
MC94	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1
MCT8	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1
MexMkt	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	0	0
MG1ZA	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1
MG4ZA	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1
MLA1	0	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0
MODS27IT	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1
MODS28IT	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1
NBRC106979	0	1	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0
PENNEWT	1	1	1	0	1	0	1	0	0	0	1	0	1	1	1	0	1
PENS.2.4	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	0	1
PENS.9.2	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
picosAo1	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	1
PNP15150	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1
PNP15152	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1
PNP15153	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1
PNP15156	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	0	1
PUITS11	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1
PUITS12No3	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	0	1
PUITS12No4	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	1	1
PUITS12No5	1	1	1	0	1	0	1	1	0	1	1	0	1	0	1	0	1
PUITS12No7	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	1
PUITS12No8	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1
RAS3CH	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1
RC4	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1
RC5.1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1
RC5.1FR	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	1	1
RioMaria	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1
SA1dZA	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1
SA3e	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1
SA4cZA	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1
SA5c	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1
SA6e	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1
SA.EC1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1
SA.EC3	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1
SA.EC5	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	0
SA.EC6	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
SA.EC7	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1
SA.FS1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1
SA.KN1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1
SA.KN3	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1
SA.KN4	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1
SA.KN5	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1
SA.KN6	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1
SA.NC10	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	0	1
SA.NC1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
SA.NC2	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1
SA.NC3	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1
SA.NC4	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1
SA.NC5	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
SA.NC6	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1
SA.NC7	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1
SA.NC8	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1
SA.NC9	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1
SCHCH	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1
SFBC014GB	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1
Sora	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
SP10IT	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1
SRS812	0	1	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0
STR3CH	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1
SWED.40.5.04	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1
SWED.40.5.13	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1
SWED.40.5.14	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1
SWED.40.5.17	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1
SWED.40.5.22	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1
SWISSIT1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1
TER1.1	1	1	1	0	1	0	1	0	0	1	1	0	1	1	1	1	1
TER3.1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1
TER4.2	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1
TF5a1ES	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1
TORO1ES	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	1
TW16.050	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1
TW16.164	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1
TW16.206	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1
TW16.279	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1
TW16.280	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1
TW16.292	1	1	1	0	1	1	1	0	0	0	1	0	1	1	1	0	1
TW16.293	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1
TW16.295	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1
TW16.304	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1
TW16.519	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	0	1
UKBEL	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1
UKBER	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1
UKMAB	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1
UKTVB	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1
UM142	0	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0
VA02	1	1	1	1	1	0	1	0	0	0	1	0	1	1	1	1	1
VC1CA	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1
VOR3CH	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1
